models,experiments,data
simple,bsds_5,0.5298013245
simple,bsds_10,0.6622516556
simple,bsds_100,0.8940397351
simple_untied,bsds_5,0.4966887417
simple_untied,bsds_10,0.5463576159
simple_untied,bsds_100,0.761589404
simple_no_h,bsds_5,0.4304635762
simple_no_h,bsds_10,0.5629139073
simple_no_h,bsds_100,0.6622516556
horizontal,bsds_5,0.3642384106
horizontal,bsds_10,0.4635761589
horizontal,bsds_100,0.7284768212
horizontal_bigger,bsds_5,0.380794702
horizontal_bigger,bsds_10,0.4801324503
horizontal_bigger,bsds_100,0.7947019868
simple_ts_1,bsds_5,0.5132450331
simple_ts_1,bsds_10,0.5165562914
simple_ts_1,bsds_100,0.7947019868
simple_no_nonnegative,bsds_5,0.4900662252
simple_no_nonnegative,bsds_10,0.5066225166
simple_no_nonnegative,bsds_100,0.7781456954
simple_no_additive,bsds_5,0.4966887417
simple_no_additive,bsds_10,0.5794701987
simple_no_additive,bsds_100,0.821192053
simple_no_multiplicative,bsds_5,0.4966887417
simple_no_multiplicative,bsds_10,0.5298013245
simple_no_multiplicative,bsds_100,0.7781456954